initial_alias,converted_alias
NM_024874,222468_at
NM_001350140,None
NM_005095,None
NM_012199,222576_s_at
NM_012199,228120_at
NM_012199,239036_at
NM_001162530,229998_x_at
NM_206837,227359_at
NM_024852,228932_at
NM_024852,235782_at
NM_024852,241091_at
NM_018067,None
NM_001317123,222576_s_at
NM_001317123,228120_at
NM_001317123,239036_at
NM_001317122,222576_s_at
NM_001317122,228120_at
NM_001317122,239036_at
NM_145047,227359_at
NM_177422,228932_at
NM_177422,235782_at
NM_177422,241091_at
NM_001286366,None
NM_001286365,None
NM_001330493,227359_at
NM_001242908,241450_at
NM_000831,230593_at
NM_001242910,241450_at
NM_001242909,241450_at
NM_001038633,241450_at
NM_001365821,None
NM_005540,None
NM_001365825,None
NM_001350227,None
NM_001365824,None
NM_001365820,None
NM_001365822,None
NM_001297434,None
NM_001365823,None
NM_001350228,None
NM_012090,232168_x_at
NM_012090,241896_at
NM_001304746,None
NM_017821,None
NM_001308115,None
NM_001142590,None
NM_001308114,None
NM_001142589,None
NM_014747,None
NM_001142588,None
NM_001142587,None
NM_012421,None
NM_014223,None
NM_001172222,None
NM_001172220,None
NM_012236,None
NM_001127714,232581_x_at
NM_001127714,235122_at
NM_001127714,244764_at
NM_001350668,None
NM_001172218,None
NM_001172221,None
NM_001172219,None
NM_024503,232581_x_at
NM_024503,235122_at
NM_024503,244764_at
NM_001350667,None
NM_001031694,None
NM_001198852,None
NM_001287511,None
NM_001355224,243036_at
NM_001355226,243036_at
NM_001355227,243036_at
NM_001080850,243036_at
NM_014947,None
NM_001198851,None
NM_001198850,None
NM_001350621,225905_s_at
NM_001350621,242511_at
NM_001270466,225905_s_at
NM_001270466,242511_at
NM_174965,225905_s_at
NM_174965,242511_at
NM_174971,225905_s_at
NM_174971,242511_at
NM_174963,225905_s_at
NM_174963,242511_at
NM_001350620,225905_s_at
NM_001350620,242511_at
NM_174969,225905_s_at
NM_174969,242511_at
NM_201542,None
NM_174968,225905_s_at
