initial_alias	converted_alias
NM_001282562	EYA3
NM_000911	OPRD1
NM_001350161	PHACTR4
NM_001350158	PHACTR4
NM_001048183	PHACTR4
NM_001024732	MECR
NM_017846	TRNAU1AP
NM_203342	EPB41
NM_001166005	EPB41
NM_001166006	EPB41
NM_203343	EPB41
NM_001350159	PHACTR4
NM_006582	GMEB1
NM_001319674	GMEB1
NM_001349717	MECR
NM_001349716	MECR
NM_001349715	MECR
NM_001166007	EPB41
NM_016011	MECR
NM_004437	EPB41
NM_001349714	MECR
NM_001350160	PHACTR4
NM_023923	PHACTR4
NM_001349712	MECR
NM_001349711	MECR
NM_024482	GMEB1
NM_001349713	MECR
NM_024522	NKAIN1
NM_001282567	ZCCHC17
NM_001282566	ZCCHC17
NM_001282570	ZCCHC17
NM_001282572	ZCCHC17
NM_001282571	ZCCHC17
NM_001282574	ZCCHC17
NM_001282573	ZCCHC17
NM_014676	PUM1
NM_001282568	ZCCHC17
NM_016505	ZCCHC17
NM_001282569	ZCCHC17
NM_001020658	PUM1
NM_001300958	BSDC1
NM_001143889	BSDC1
NM_018045	BSDC1
NM_012316	KPNA6
NM_001143888	BSDC1
NM_001143890	BSDC1
NM_001366264	ZBTB8OS
NM_001366269	ZBTB8OS
NM_001366270	ZBTB8OS
NM_001366271	ZBTB8OS
NM_001330483	TRIM62
NM_001329722	TMEM54
NM_001308135	ZBTB8OS
NM_001198973	KIAA1522
NM_001319143	AK2
NM_178547	ZBTB8OS
NM_001329725	TMEM54
NM_001366266	ZBTB8OS
NM_001366265	ZBTB8OS
NM_001366258	ZBTB8OS
NM_001366259	ZBTB8OS
NM_001366260	ZBTB8OS
NM_013411	AK2
NM_001319142	AK2
NM_001319141	AK2
NM_001366268	ZBTB8OS
NM_001366267	ZBTB8OS
NM_152493	ZNF362
NM_020888	KIAA1522
NM_001330475	ZBTB8OS
NM_001319140	AK2
NM_001329724	TMEM54
NM_001308138	ZBTB8OS
NM_001308137	ZBTB8OS
NM_001308136	ZBTB8OS
NM_001308141	ZBTB8OS
NM_001308140	ZBTB8OS
NM_001308139	ZBTB8OS
NM_001199199	AK2
NM_001366263	ZBTB8OS
NM_001319139	AK2
NM_001625	AK2
NM_001329723	TMEM54
NM_018207	TRIM62
NM_001366278	None
NM_001366257	ZBTB8OS
NM_001366256	ZBTB8OS
NM_001366255	ZBTB8OS
NM_001198972	KIAA1522
NM_001369553	KIAA1522
NM_001370212	ZNF362
NM_033504	TMEM54
NM_001134734	C1orf94
NM_032884	C1orf94
NM_007167	ZMYM6
NM_001350138	ZMYM4
NM_001350139	ZMYM4
NM_024874	KIAA0319L
NM_001350140	ZMYM4
NM_005095	ZMYM4
NM_012199	AGO1
NM_001162530	SH3D21
NM_206837	OSCP1
NM_024852	AGO3
NM_018067	MAP7D1
NM_001317123	AGO1
NM_001317122	AGO1
NM_145047	OSCP1
NM_177422	AGO3
NM_001286366	MAP7D1
NM_001286365	MAP7D1
NM_001330493	OSCP1
NM_001242908	RSPO1
NM_000831	GRIK3
NM_001242910	RSPO1
NM_001242909	RSPO1
NM_001038633	RSPO1
NM_001365821	INPP5B
NM_005540	INPP5B
NM_001365825	INPP5B
NM_001350227	INPP5B
NM_001365824	INPP5B
NM_001365820	INPP5B
NM_001365822	INPP5B
NM_001297434	INPP5B
NM_001365823	INPP5B
NM_001350228	INPP5B
NM_012090	MACF1
NM_001304746	RHBDL2
NM_017821	RHBDL2
NM_001308115	NFYC
NM_001142590	NFYC
NM_001308114	NFYC
NM_001142589	NFYC
NM_014747	RIMS3
NM_001142588	NFYC
NM_001142587	NFYC
NM_012421	RLF
NM_014223	NFYC
NM_001172222	SCMH1
